2020-6-7,12500,
2020-6-8,3250,
2020-6-9,4000,
2020-6-10,5000,
2020-6-11,6000,
2020-6-12,1000,
2020-6-13,1750,
2020-6-14,3000,
2020-6-15,2250,
2020-6-16,11500,
2020-6-17,5750,
2020-6-18,750,
2020-6-19,2500,
2020-6-20,3250,
2020-6-21,1500,
2020-6-22,1250,
2020-6-23,3500,
2020-6-24,3750,
2020-6-25,1500,
2020-6-26,750,
2020-6-27,750,
2020-6-28,2750,
2020-6-29,1500,
2020-6-30,1500,
2020-7-1,2250,
2020-7-2,3500,
2020-7-3,1500,
2020-7-4,3000,
2020-7-5,1250,
2020-7-6,2000,
2020-7-7,3500,
2020-7-8,2500,
2020-7-9,2500,
2020-7-10,2250,
2020-7-11,4000,
2020-7-12,2000,
2020-7-13,3000,
2020-7-14,1500,
2020-7-15,3500,
2020-7-16,1750,
2020-7-17,3250,
2020-7-18,1250,
2020-7-19,1250,
2020-7-20,1250,
2020-7-21,5000,
2020-7-22,2250,
2020-7-23,2250,
2020-7-24,500,
2020-7-25,500,
2020-7-26,500,
2020-7-27,2750,
2020-7-28,2750,
2020-7-29,1500,
2020-7-30,3000,
2020-7-31,1250,
2020-8-1,4750,
2020-8-2,2000,
2020-8-3,1750,
2020-8-4,4000,
2020-8-5,1500,
2020-8-6,1750,
2020-8-7,2000,
2020-8-8,2500,
2020-8-9,1250,
2020-8-10,750,
2020-8-11,4000,
2020-8-12,1000,
2020-8-13,500,
2020-8-14,1750,
2020-8-15,2250,
2020-8-16,1000,
2020-8-17,1000,
2020-8-18,4250,
2020-8-19,500,
2020-8-20,500,
2020-8-21,500,
2020-8-22,1000,
2020-8-23,500,
2020-8-24,500,
2020-8-25,500,
2020-8-26,1500,
2020-8-27,1000,
2020-8-28,1000,
2020-8-29,1000,
2020-8-30,1500,
2020-8-31,1500,
2020-9-1,500,
2020-9-2,500,
2020-9-3,500,
2020-9-4,1750,
2020-9-5,500,
2020-9-6,500,
2020-9-7,500,
2020-9-8,500,
2020-9-9,2750,
2020-9-10,1750,
2020-9-11,4250,
2020-9-12,2250,
2020-9-13,1000,
2020-9-14,1750,
2020-9-15,2000,
2020-9-16,3250,
2020-9-17,2250,
2020-9-18,1250,
2020-9-19,1250,
2020-9-20,4250,
2020-9-21,2000,
2020-9-22,1250,
2020-9-23,750,
2020-9-24,2500,
2020-9-25,1250,
2020-9-26,2250,
2020-9-27,1250,
2020-9-28,2000,
2020-9-29,3000,
2020-9-30,6000,
2020-10-1,1750,
2020-10-2,2750,
2020-10-3,1750,
2020-10-4,2750,
2020-10-5,750,
2020-10-6,1250,
2020-10-7,1500,
2020-10-8,1250,
2020-10-9,1000,
2020-10-10,1250,
2020-10-11,2000,
2020-10-12,1000,
